,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00510000047043,LEYGTPT,TF324419,NA,NOG39404,HOG000006694,HBG050816,NA,Q9Y3M2
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9Y3M2,CBY1_HUMAN,7.0,,1,1,1,,1,1,1,,1
Q9Y3M2,CBY1_HUMAN,7.0,,1,1,1,,1,1,1,,1
Q8K4I6,CBY1_RAT,7.0,,1,1,1,,1,1,1,,1
Q8K4I6,CBY1_RAT,7.0,,1,1,1,,1,1,1,,1
Q9D1C2,CBY1_MOUSE,7.0,,1,1,1,,1,1,1,,1
B2CAW6,B2CAW6_PIG,6.0,,1,1,1,,1,1,1,,
Q8MJK1,CBY1_BOVIN,6.0,,1,1,1,,1,1,1,,
B7ZVK9,B7ZVK9_DANRE,6.0,,1,1,1,,1,1,1,,
B3DL58,B3DL58_XENTR,4.0,,1,,,,1,1,1,,
E1BT07,E1BT07_CHICK,4.0,,1,1,1,,,,,,1
H0ZJD3,H0ZJD3_TAEGU,3.0,,1,1,1,,,,,,
H2LC17,H2LC17_ORYLA,3.0,,1,1,1,,,,,,
E2RKA5,E2RKA5_CANFA,3.0,,1,1,1,,,,,,
C3YF67,C3YF67_BRAFL,3.0,,,1,,,1,,,,1
H0Y132,H0Y132_OTOGA,3.0,,1,1,1,,,,,,
H0WAM4,H0WAM4_CAVPO,3.0,,1,1,1,,,,,,
F6T9Z9,F6T9Z9_ORNAN,3.0,,1,1,1,,,,,,
H2QLN8,H2QLN8_PANTR,3.0,,1,1,1,,,,,,
H2V2U9,H2V2U9_TAKRU,3.0,,1,1,1,,,,,,
H3AHI9,H3AHI9_LATCH,3.0,,1,1,1,,,,,,
G3VBS6,G3VBS6_SARHA,3.0,,1,1,1,,,,,,
G3NLA0,G3NLA0_GASAC,3.0,,1,1,1,,,,,,
G3TGD3,G3TGD3_LOXAF,3.0,,1,1,1,,,,,,
G3RBP0,G3RBP0_GORGO,3.0,,1,1,1,,,,,,
I3MG22,I3MG22_SPETR,3.0,,1,1,1,,,,,,
G1T3N7,G1T3N7_RABIT,3.0,,1,1,1,,,,,,
G1RYT0,G1RYT0_NOMLE,3.0,,1,1,1,,,,,,
G1P0W1,G1P0W1_MYOLU,3.0,,1,1,1,,,,,,
G1NIK4,G1NIK4_MELGA,3.0,,1,1,1,,,,,,
G1LVX9,G1LVX9_AILME,3.0,,1,1,1,,,,,,
G1KHF1,G1KHF1_ANOCA,3.0,,1,1,1,,,,,,
F6QTX3,F6QTX3_MONDO,3.0,,1,1,1,,,,,,
F6XC41,F6XC41_XENTR,3.0,,1,1,1,,,,,,
F6W811,F6W811_HORSE,3.0,,1,1,1,,,,,,
F6UA99,F6UA99_MACMU,3.0,,1,1,1,,,,,,
H3D5X4,H3D5X4_TETNG,3.0,,1,1,1,,,,,,
F6TG91,F6TG91_CALJA,3.0,,1,1,1,,,,,,
Q9CVN6,CBY3_MOUSE,3.0,,1,,1,,,1,,,
Q8JI29,Q8JI29_DANRE,3.0,,,,,,1,,1,,1
B0QY54,B0QY54_HUMAN,3.0,,1,,,,,1,1,,
A7RJW2,A7RJW2_NEMVE,3.0,,,,,,1,1,,,1
K7F950,K7F950_PELSI,3.0,,1,1,1,,,,,,
W5Q2F1,W5Q2F1_SHEEP,2.0,,1,1,,,,,,,
G1KXI4,G1KXI4_ANOCA,2.0,,1,,1,,,,,,
F1S440,F1S440_PIG,2.0,,1,,1,,,,,,
Q4S4C9,Q4S4C9_TETNG,2.0,,,,,,1,,1,,
G3WTU0,G3WTU0_SARHA,2.0,,1,,1,,,,,,
F7HWY2,F7HWY2_CALJA,2.0,,1,,1,,,,,,
U3KDD8,U3KDD8_FICAL,2.0,,1,1,,,,,,,
G3SN08,G3SN08_LOXAF,2.0,,1,,1,,,,,,
F6RB48,F6RB48_HORSE,2.0,,1,,1,,,,,,
G3R8L4,G3R8L4_GORGO,2.0,,1,,1,,,,,,
U3J3P7,U3J3P7_ANAPL,2.0,,1,1,,,,,,,
G3N0B2,G3N0B2_BOVIN,2.0,,1,,1,,,,,,
G1MPF3,G1MPF3_AILME,2.0,,1,,1,,,,,,
A6NI87,CBY3_HUMAN,2.0,,1,,1,,,,,,
F1M5C8,F1M5C8_RAT,2.0,,1,,1,,,,,,
H0WBF4,H0WBF4_CAVPO,2.0,,1,,1,,,,,,
H0XTB0,H0XTB0_OTOGA,2.0,,1,,1,,,,,,
H2PHL5,H2PHL5_PONAB,2.0,,1,,1,,,,,,
I3KUI0,I3KUI0_ORENI,2.0,,,1,1,,,,,,
H9H4T9,H9H4T9_MACMU,2.0,,1,,1,,,,,,
I3NHL2,I3NHL2_SPETR,2.0,,1,,1,,,,,,
W5KN37,W5KN37_ASTMX,2.0,,1,1,,,,,,,
J9P006,J9P006_CANFA,2.0,,1,,1,,,,,,
H2V2U8,H2V2U8_TAKRU,2.0,,1,,1,,,,,,
K7EZR7,K7EZR7_PELSI,2.0,,1,,1,,,,,,
H2P4D9,H2P4D9_PONAB,2.0,,1,,1,,,,,,
F7ABL9,F7ABL9_MONDO,2.0,,1,,1,,,,,,
M3WV93,M3WV93_FELCA,2.0,,1,1,,,,,,,
F7B655,F7B655_ORNAN,2.0,,1,,1,,,,,,
M3YNZ5,M3YNZ5_MUSPF,2.0,,1,1,,,,,,,
B3RNA1,B3RNA1_TRIAD,2.0,,,,,,1,1,,,
G1QLE4,G1QLE4_NOMLE,2.0,,1,,1,,,,,,
A0A096MZH5,A0A096MZH5_PAPAN,1.0,,1,,,,,,,,
A0A087XKG7,A0A087XKG7_POEFO,1.0,,1,,,,,,,,
F1RJZ6,F1RJZ6_PIG,1.0,,,,1,,,,,,
A0A087WUW0,A0A087WUW0_HUMAN,1.0,,1,,,,,,,,
A0A096NK27,A0A096NK27_PAPAN,1.0,,1,,,,,,,,
B4NHP5,B4NHP5_DROWI,1.0,,,,,,1,,,,
E9QJ80,E9QJ80_DANRE,1.0,,1,,,,,,,,
B3LVI4,B3LVI4_DROAN,1.0,,,,,,1,,,,
B5XB59,B5XB59_SALSA,1.0,,,,,,,,1,,
B5XDF6,B5XDF6_SALSA,1.0,,,,,,,,1,,
B4LWQ0,B4LWQ0_DROVI,1.0,,,,,,1,,,,
B4JU90,B4JU90_DROGR,1.0,,,,,,1,,,,
D2GZJ9,D2GZJ9_AILME,1.0,,,,,,,1,,,
D2H0K1,D2H0K1_AILME,1.0,,,,1,,,,,,
D2HGC2,D2HGC2_AILME,1.0,,,,,,,1,,,
A6QQS3,SPERT_BOVIN,1.0,,,,1,,,,,,
E2R891,E2R891_CANFA,1.0,,1,,,,,,,,
B0QY53,B0QY53_HUMAN,1.0,,1,,,,,,,,
A9UX34,A9UX34_MONBE,1.0,,,,,,1,,,,
B4PKW5,B4PKW5_DROYA,1.0,,,,,,1,,,,
E2RN54,E2RN54_CANFA,1.0,,,,1,,,,,,
E9IAV5,E9IAV5_SOLIN,1.0,,,1,,,,,,,
Z4YJN4,Z4YJN4_MOUSE,1.0,,1,,,,,,,,
G3T7A2,G3T7A2_LOXAF,1.0,,,,1,,,,,,
F7D0F1,F7D0F1_MONDO,1.0,,,,1,,,,,,
I3MVJ9,I3MVJ9_SPETR,1.0,,1,,,,,,,,
M3WPB3,M3WPB3_FELCA,1.0,,1,,,,,,,,
M3Z429,M3Z429_MUSPF,1.0,,1,,,,,,,,
M4ADI7,M4ADI7_XIPMA,1.0,,1,,,,,,,,
Q32MG2,SPERT_MOUSE,1.0,,,,1,,,,,,
Q4S4C3,Q4S4C3_TETNG,1.0,,,,,,,1,,,
Q5C811,Q5C811_SCHJA,1.0,,,,,,1,,,,
Q5DAW8,Q5DAW8_SCHJA,1.0,,,,,,1,,,,
Q6INT5,Q6INT5_XENLA,1.0,,,,,,,,1,,
Q6NRI7,Q6NRI7_XENLA,1.0,,,,,,,,1,,
Q8JI30,Q8JI30_XENLA,1.0,,,,,,,,1,,
Q8NA61,SPERT_HUMAN,1.0,,,,1,,,,,,
T1FEX9,T1FEX9_HELRO,1.0,,,1,,,,,,,
V3ZKG3,V3ZKG3_LOTGI,1.0,,,1,,,,,,,
W4W353,W4W353_ATTCE,1.0,,,1,,,,,,,
W5NZE7,W5NZE7_SHEEP,1.0,,1,,,,,,,,
J9P0H4,J9P0H4_CANFA,1.0,,1,,,,,,,,
I3M1U7,I3M1U7_SPETR,1.0,,,,1,,,,,,
F7D4C7,F7D4C7_HORSE,1.0,,,,1,,,,,,
H3HTT6,H3HTT6_STRPU,1.0,,,1,,,,,,,
F7H245,F7H245_MACMU,1.0,,,,1,,,,,,
F7H293,F7H293_CALJA,1.0,,,,1,,,,,,
G1QE68,G1QE68_MYOLU,1.0,,,,1,,,,,,
G1QPY4,G1QPY4_NOMLE,1.0,,,,1,,,,,,
G1T6L4,G1T6L4_RABIT,1.0,,,,1,,,,,,
G3R3S7,G3R3S7_GORGO,1.0,,,,1,,,,,,
G3US34,G3US34_MELGA,1.0,,,,1,,,,,,
G3W232,G3W232_SARHA,1.0,,,,1,,,,,,
G4V828,G4V828_SCHMA,1.0,,,1,,,,,,,
H0VEF8,H0VEF8_CAVPO,1.0,,,,1,,,,,,
H0XJD7,H0XJD7_OTOGA,1.0,,,,1,,,,,,
H0ZPY7,H0ZPY7_TAEGU,1.0,,,,1,,,,,,
H2NJT8,H2NJT8_PONAB,1.0,,,,1,,,,,,
H2Q7I9,H2Q7I9_PANTR,1.0,,,,1,,,,,,
H3AV49,H3AV49_LATCH,1.0,,1,,,,,,,,
A0A024R1L9,A0A024R1L9_HUMAN,1.0,,,1,,,,,,,
